%caldt,vwretd,ewretd,ncrtrn,ncindx,decret1,totval,totcnt,usdval,usdcnt
19850131,0.125609,0.124969,0.1267435,278.7,0.11788,240151758,4019,211779641,3972
19850228,0.02044457,0.05566079,0.01962684,284.17,0.1004213,244784525,4019,239574365,3991
19850329,-0.01399369,0.001417424,-0.01748953,279.2,-0.003183224,243248295,4018,243539460,3980
19850430,0.004046253,-0.006494276,0.00487106,280.56,-0.01337368,243265421,4022,241207401,3977
19850531,0.03610189,0.01551089,0.03649843,290.8,-0.02124692,251737002,4024,241179129,3970
19850628,0.02099423,-0.003288981,0.01856946,296.2,-0.02303974,259454433,4037,249681291,3974
19850731,0.01746588,0.02330712,0.01718434,301.29,0.007582902,263528603,4035,256945719,3984
19850830,-0.008799833,0.0003684171,-0.01188224,297.71,0.02435775,261223216,4031,262191215,3977
19850930,-0.05707421,-0.06075445,-0.05837896,280.33,-0.07119784,248470777,4040,260306829,3991
19851031,0.04740193,0.01185215,0.04355581,292.54,-0.03768263,259553146,4048,246894120,3981
19851129,0.07405282,0.04854235,0.07318658,313.95,0.02183625,278787733,4047,257565042,3984
19851231,0.0356798,0.02304572,0.03497372,324.93,-0.01805781,291604995,4059,276826219,3997
19860131,0.03052778,0.05733345,0.03336103,335.77,0.09176232,299091500,4020,289178789,3975
19860228,0.0712567,0.05346749,0.07076272,359.53,0.0474914,317660588,3975,295649108,3926
19860331,0.04467145,0.04142942,0.04224961,374.72,0.0287324,340290581,4041,314435257,3926
19860430,0.02390796,0.02573178,0.02273698,383.24,0.001609785,348847585,4060,337787803,3992
19860530,0.04671961,0.03483207,0.04414988,400.16,0.04345787,371190773,4103,347685019,4008
19860630,0.0118992,0.01084133,0.01336965,405.51,0.02091694,384653599,4172,369629049,4054
19860731,-0.08284316,-0.07261742,-0.08419028,371.37,-0.06881177,356716464,4220,383418323,4121
19860829,0.03031521,0.008558299,0.0309395,382.86,0.009067411,367927771,4250,354826560,4169
19860930,-0.08301175,-0.06305372,-0.08407773,350.67,-0.05986098,340204088,4274,364105959,4196
19861031,0.02954676,0.01739298,0.02880201,360.77,-0.02721545,353180138,4321,338395231,4230
19861128,-0.002624823,-0.009310897,-0.003326219,359.57,-0.01344743,352648230,4342,350322846,4259
19861231,-0.0287135,-0.03983802,-0.02986901,348.83,-0.04678932,343969323,4365,345767997,4262
19870130,0.1242545,0.118138,0.1239286,392.06,0.1552274,386063127,4371,341556782,4312
19870227,0.08431937,0.07986861,0.08394124,424.97,0.07029743,419405909,4430,384630523,4353
19870331,0.01428393,0.039102,0.01195379,430.05,0.07505769,428656324,4479,415983098,4394
19870430,-0.0274254,-0.01401479,-0.02846181,417.81,0.002497791,412713725,4506,422488454,4445
19870529,-0.002390096,-0.001857819,-0.003039659,416.54,0.005942072,413447966,4549,410534154,4470
19870630,0.019922,0.01628944,0.01951793,424.67,0.03233375,426379271,4597,411234566,4504
19870731,0.02683254,0.02931102,0.02415994,434.93,0.08716723,438992153,4631,424101357,4547
19870831,0.04604363,0.01169261,0.04607638,454.97,-0.006184883,457917108,4673,434669829,4583
19870930,-0.02178773,-0.01699465,-0.02347407,444.29,-0.02047589,448605538,4726,452874160,4633
19871030,-0.2710781,-0.2744552,-0.2723221,323.3,-0.2814028,324471064,4706,443073253,4657
19871130,-0.05416109,-0.04903622,-0.05610888,305.16,-0.04625074,305482956,4677,322671888,4652
19871231,0.08325978,0.01498442,0.08294009,330.47,-0.036044,327932255,4648,300526405,4610
19880129,0.04270919,0.0802367,0.04293884,344.66,0.1044941,338887557,4632,324945100,4602
19880229,0.06581667,0.05571496,0.06467243,366.95,0.0440365,358709811,4602,335896610,4566
19880331,0.02211729,0.04576674,0.02095653,374.64,0.03100199,359481311,4580,349457103,4543
19880429,0.01355959,0.01412738,0.01227845,379.24,0.01139331,359372754,4557,353591755,4520
19880531,-0.02076359,-0.01939026,-0.02346799,370.34,-0.01247063,350241503,4531,356072261,4491
19880630,0.06816822,0.0425656,0.06566939,394.66,0.01268535,376581462,4532,347836315,4483
19880729,-0.01537414,0.003762462,-0.01857295,387.33,0.02304878,369323244,4514,374015301,4476
19880831,-0.02485703,-0.02230792,-0.02783157,376.55,-0.009221351,355845008,4500,364023864,4456
19880930,0.03185285,0.01036731,0.0296375,387.71,0.02439826,361958621,4472,348245183,4437
19881031,-0.01329134,-0.01662972,-0.01354105,382.46,-0.0325893,355313868,4479,357599856,4429
19881130,-0.02799911,-0.0387434,-0.02878732,371.45,-0.066718,337611732,4446,347162148,4417
19881230,0.03022999,0.01464086,0.02673307,381.38,0.02264249,337656227,4399,325827612,4365
19890131,0.05642681,0.06024357,0.05223137,401.3,0.1135348,352974307,4397,333828448,4357
19890228,-0.003316549,0.005624195,-0.003962123,399.71,0.00112889,349608344,4372,350161078,4346
19890331,0.01951464,0.01685184,0.01756273,406.73,0.01533627,353638592,4357,345975987,4324
19890428,0.05208633,0.02462034,0.05118875,427.55,-0.005544919,368921938,4346,350056158,4318
19890531,0.04532462,0.02138522,0.04355046,446.17,0.009670913,378566970,4328,361745754,4291
19890630,-0.02324383,-0.01091013,-0.02438532,435.29,0.01486788,374185456,4288,374835296,4258
19890731,0.04239534,0.02295279,0.04261527,453.84,0.001424663,391251088,4304,373293794,4260
19890831,0.03693978,0.01827507,0.03413097,469.33,-0.01248246,400094021,4274,385278721,4246
19890929,0.009314188,0.009013368,0.007649202,472.92,-0.01619923,401296887,4245,396472847,4217
19891031,-0.03620885,-0.04657654,-0.0365601,455.63,-0.02613978,384771910,4239,397750165,4203
19891130,0.002760063,-0.01054002,0.001009591,456.09,-0.03411266,384995283,4246,382456264,4195
19891229,-0.003029591,-0.0177396,-0.002784538,454.82,-0.02764416,382922339,4248,379783015,4199
19900131,-0.08684874,-0.04244897,-0.0857702,415.81,0.03456463,346463938,4239,378540861,4203
19900228,0.02637585,0.01739013,0.02409755,425.83,0.03458782,354843625,4225,345175656,4204
19900330,0.02859874,0.02121777,0.02280253,435.54,0.001349779,368564520,4223,353491042,4184
19900430,-0.03402614,-0.02139895,-0.03551913,420.07,0.001100571,357598585,4220,367484439,4178
19900531,0.09328859,0.04239387,0.09260362,458.97,0.03100032,388727459,4216,354197120,4169
19900629,0.00741609,0.00956946,0.007233588,462.29,0.009551317,393128650,4195,385449431,4149
19900731,-0.04881002,-0.02909703,-0.05202362,438.24,-0.03903716,373523958,4185,391053102,4142
19900831,-0.126561,-0.1092123,-0.1301342,381.21,-0.0788907,325621639,4183,371857706,4143
19900928,-0.09306618,-0.08104174,-0.09627239,344.51,-0.03363591,291539742,4156,322116211,4137
19901031,-0.03863716,-0.0611122,-0.04258222,329.84,-0.08075895,278298644,4135,289507688,4114
19901130,0.0915532,0.02471754,0.08858841,359.06,-0.03375565,302315138,4104,277113414,4088
19901231,0.04233083,-0.008766957,0.04116304,373.84,-0.02607748,309353568,4087,295352919,4066
19910131,0.1091974,0.07611876,0.1079606,414.2,0.08904558,342396148,4058,308433986,4040
19910228,0.0963942,0.1343901,0.09379527,453.05,0.1417914,370814389,4039,338128431,4022
19910328,0.06591323,0.09000334,0.06456241,482.3,0.1174251,400077797,4027,368955879,3996
19910430,0.005878156,0.05111455,0.005017624,484.72,0.1265136,398001751,3997,392867113,3959
19910531,0.04678422,0.03188452,0.04412857,506.11,0.05584054,418053169,3997,396852682,3951
19910628,-0.05806923,-0.02558681,-0.05965107,475.92,0.007679806,399538296,4022,415880258,3962
19910731,0.05831492,0.03846873,0.05488317,502.04,0.05644928,423863029,4019,397256873,3970
19910830,0.04779574,0.0317954,0.04708788,525.68,0.05472424,445724781,4033,421816476,3980
19910930,0.003739563,0.01528986,0.002282758,526.88,0.0522426,452163684,4041,443948926,4012
19911031,0.03196597,0.03317703,0.03055724,542.98,-0.007681129,467562679,4053,448058267,4003
19911129,-0.0333985,-0.01433925,-0.03513942,523.9,0.07032885,451345027,4061,462936202,4013
19911231,0.1183758,0.02486919,0.119183,586.34,0.004246585,510422537,4068,445180856,4018
19920131,0.06005007,0.1732847,0.05776512,620.21,0.3000291,545852651,4083,509048062,4036
19920228,0.02259029,0.06068505,0.02137985,633.47,0.1420003,556887453,4086,541020382,4040
19920331,-0.04654601,-0.01056703,-0.04688462,603.77,0.02407464,539818785,4110,552405604,4033
19920430,-0.04348994,-0.04576836,-0.04155556,578.68,-0.06529925,516644859,4111,536218470,4059
