date,rf
1987.01,5.43
1987.02,5.59
1987.03,5.59
1987.04,5.64
1987.05,5.66
1987.06,5.67
1987.07,5.69
1987.08,6.04
1987.09,6.40
1987.10,6.13
1987.11,5.69
1987.12,5.77
1988.01,5.81
1988.02,5.66
1988.03,5.70
1988.04,5.91
1988.05,6.26
1988.06,6.46
1988.07,6.73
1988.08,7.06
1988.09,7.24
1988.10,7.35
1988.11,7.76
1988.12,8.07
1989.01,8.27
1989.02,8.53
1989.03,8.82
1989.04,8.65
1989.05,8.43
1989.06,8.15
1989.07,7.88
1989.08,7.90
1989.09,7.75
1989.10,7.64
1989.11,7.69
1989.12,7.63
1990.01,7.64
1990.02,7.74
1990.03,7.90
1990.04,7.77
1990.05,7.74
1990.06,7.73
1990.07,7.62
1990.08,7.45
1990.09,7.36
1990.10,7.17
1990.11,7.06
1990.12,6.74
1991.01,6.22
1991.02,5.94
1991.03,5.91
1991.04,5.65
1991.05,5.46
1991.06,5.57
1991.07,5.58
1991.08,5.33
1991.09,5.22
1991.10,4.99
1991.11,4.56
1991.12,4.07
1992.01,3.80
1992.02,3.84
1992.03,4.04
1992.04,3.75
1992.05,3.63
1992.06,3.66
1992.07,3.21
1992.08,3.13
1992.09,2.91
1992.10,2.86
1992.11,3.13
1992.12,3.22
1993.01,3.00
1993.02,2.93
1993.03,2.95
1993.04,2.87
1993.05,2.96
1993.06,3.07
1993.07,3.04
1993.08,3.02
1993.09,2.95
1993.10,3.02
1993.11,3.10
1993.12,3.06
1994.01,2.98
1994.02,3.25
1994.03,3.50
1994.04,3.68
1994.05,4.14
1994.06,4.14
1994.07,4.33
1994.08,4.48
1994.09,4.62
1994.10,4.95
1994.11,5.29
1994.12,5.60
1995.01,5.71
1995.02,5.77
1995.03,5.73
1995.04,5.65
1995.05,5.67
1995.06,5.47
1995.07,5.42
1995.08,5.40
1995.09,5.28
1995.10,5.28
1995.11,5.36
1995.12,5.14
1996.01,5.00
1996.02,4.83
1996.03,4.96
1996.04,4.95
1996.05,5.02
1996.06,5.09
1996.07,5.15
1996.08,5.05
1996.09,5.09
1996.10,4.99
1996.11,5.03
1996.12,4.91
1997.01,5.03
1997.02,5.01
1997.03,5.14
1997.04,5.16
1997.05,5.05
1997.06,4.93
1997.07,5.05
1997.08,5.14
1997.09,4.95
1997.10,4.97
1997.11,5.14
1997.12,5.16
1998.01,5.04
1998.02,5.09
1998.03,5.03
1998.04,4.95
1998.05,5.00
1998.06,4.98
1998.07,4.96
1998.08,4.90
1998.09,4.61
1998.10,3.96
1998.11,4.41
1998.12,4.39
1999.01,4.34
1999.02,4.44
1999.03,4.44
1999.04,4.29
1999.05,4.50
1999.06,4.57
1999.07,4.55
1999.08,4.72
1999.09,4.68
1999.10,4.86
1999.11,5.07
1999.12,5.20
2000.01,5.32
2000.02,5.55
2000.03,5.69
2000.04,5.66
2000.05,5.79
2000.06,5.69
2000.07,5.96
2000.08,6.09
