company_num,group_num,seg_num,round_date,raised_usd,postvalue_usd,exit_date,exit_type,exit_value,return_usd,flagpct,post_ipo,ipo60days
1,,,19970605,3.0,-99.0,-99,4,-99.0,-99.0,0,0,0
1,,,19980815,6.3,28.0,-99,4,-99.0,-99.0,0,0,0
2,,,20000324,1.6,4.6,-99,4,-99.0,-99.0,0,0,0
3,,,19950101,10.0,-99.0,19990802,1,1169.3,-99.0,0,0,0
3,,,19990501,14.9,-99.0,19990802,1,1169.3,-99.0,0,0,0
4,,,19981208,50.0,-99.0,-99,4,-99.0,-99.0,0,0,0
5,,,20000303,9.5,24.5,-99,4,-99.0,-99.0,0,0,0
6,,,19990225,0.85,-99.0,19990915,2,25.0,-99.0,0,0,0
7,,,19970215,25.0,-99.0,20000428,2,510.0,-99.0,0,0,0
8,,,19980115,10.0,160.0,19980814,1,220.1,1.065,0,0,0
9,,,19960201,2.0,-99.0,19980516,2,0.8,-99.0,0,0,0
10,,,19970117,3.38,16.1,-99,4,-99.0,-99.0,0,0,0
10,,,19980518,10.12,38.0,-99,4,-99.0,-99.0,0,0,0
10,,,19990723,20.0,85.0,-99,4,-99.0,-99.0,0,0,0
10,,,20000310,7.2,224.05,-99,4,-99.0,-99.0,0,0,0
11,,,19980101,3.75,-99.0,-99,4,-99.0,-99.0,0,0,0
11,,,19990913,8.0,-99.0,-99,4,-99.0,-99.0,0,0,0
11,,,20000229,-99.0,-99.0,-99,4,-99.0,-99.0,0,0,0
12,,,19981113,7.4,15.0,-99,4,-99.0,-99.0,0,0,0
12,,,19991031,20.0,81.8,-99,4,-99.0,-99.0,0,0,0
12,,,20000329,54.0,329.0,-99,4,-99.0,-99.0,0,0,0
13,,,20000321,4.0,16.0,-99,4,-99.0,-99.0,0,0,0
14,,,19980701,10.0,20.0,-99,4,-99.0,-99.0,0,0,0
14,,,19990719,20.0,100.0,-99,4,-99.0,-99.0,0,0,0
14,,,20000229,45.0,450.0,-99,4,-99.0,-99.0,0,0,0
15,,,19971014,3.5,9.0,20000121,2,90.0,-99.0,0,0,0
