,uuid,org_uuid,announced_on,money_raised_usd,num_investors,investment_type,lead_investor_rank,post_money_valuation_usd,prev_rounds,country_code,amount_delta,holding_time
256063,773c9fb9-0e27-4115-8bc1-343e24ee28c8,0002aa63-f21b-4c54-9495-895a1d09e0d4,2946326400,1500000.0,7.0,seed,189123.0,4500000.0,0.0,USA,1500000.0,498.0
327293,e5e06be5-4b9a-4040-9ee4-bb45920a1f99,00060741-9e4b-44cd-880a-8d0fdd8046c8,2969827200,215983.0,2.0,pre_seed,59277.0,2215982.0,0.0,SGP,215983.0,40.0
289310,23263b3b-0c61-4980-aee2-47f00f12e357,000b7667-bf70-4298-bae9-94f44d27dc10,2966716800,8700000.0,1.0,seed,3023139.0,19700000.0,0.0,CHN,8700000.0,157.0
229099,befaba3e-2bae-4fd5-b71e-6d03a71b980a,0010d353-dfe4-483b-86a7-5e11e9996e63,2887401600,500000.0,1.0,pre_seed,215024.0,4500000.0,1.0,USA,200000.0,122.0
185548,10e2bc7d-f5a6-4cdd-acf3-6c87b167f83f,0011daf2-bf81-2365-e08a-d896bdc186d6,2902262400,1900000.0,1.0,series_a,481.0,6400000.0,1.0,IND,1795000.0,622.0
118975,229fb932-9d59-777e-0fc2-fe24ae82dc9f,0033a7ef-e7ca-9c91-cc67-cd40654e5123,2412201600,12000000.0,7.0,series_c,674855.0,73500000.0,0.0,USA,12000000.0,1621.0
416694,ea4dfd87-2867-4d12-b3ee-24e8dcb622da,0042f9e8-4859-686d-fa8e-054717fda92e,3016051200,71000000.0,15.0,series_c,11580.0,500000000.0,2.0,USA,51000000.0,1148.0
450283,cce8b880-987c-427d-9536-1ef6c8067f07,004585f6-70d2-da74-7ff1-9f68a8e1162a,3029875200,400000000.0,8.0,series_c,95770.0,17500000000.0,3.0,USA,350000000.0,622.0
63137,e5256a7f-c2c3-fb9c-2164-c9f245ee8276,004b650c-7dcc-168e-6e61-95ca37cf1c84,2740176000,48284.0,1.0,other,275.0,137952.0,0.0,GBR,48284.0,0.0
451750,c5535067-8648-4d69-9db3-8959e7fb7e2c,004c2437-53fc-ca03-c418-bd34404aace2,3030393600,90000000.0,5.0,series_b,11172.0,700000000.0,2.0,USA,49300000.0,209.0
408782,318fc230-9170-427e-bae2-5b7af7a5490d,005ceae2-d3b3-4d8c-a34d-ea63972dbeec,3013459200,1076000.0,6.0,pre_seed,114672.0,6076000.0,0.0,other,1076000.0,148.0
417919,47519a4d-2142-483c-a3a0-4aab583ceb4e,006908af-9df9-444e-aa9b-9a4776e13b68,3016915200,74609.0,3.0,pre_seed,1519784.0,3599459.0,0.0,other,74609.0,474.0
432099,d149a4ea-71fa-4921-9675-fede5c629399,006aa4a6-aa16-19e0-09b6-ce013487c756,3022444800,33400000.0,6.0,series_c,170499.0,208134862.0,0.0,KOR,33400000.0,2475.0
408791,5997f019-35c7-4c75-8ede-d3df4b12ebb7,006c7cd8-8486-4500-8573-8e960951e832,2987452800,215000.0,1.0,pre_seed,109939.0,1075000.0,0.0,other,215000.0,0.0
434502,183cea39-77d8-4df6-9267-a49d6cdc6df8,006c7cd8-8486-4500-8573-8e960951e832,3023222400,100000.0,1.0,seed,45.0,3100000.0,2.0,other,80000.0,0.0
175608,06796969-9ec3-5458-ff0d-c9b3d9dee181,007bfe46-e02c-00b3-51ad-3a25e8d64851,2842819200,1385821.0,2.0,seed,104314.0,8492596.0,0.0,AUS,1385821.0,458.0
