,,gamma (%),delta,sigma (%),k (%),a,b,pi (%),E[ln R] (%),E[R] (%),alpha (%),beta
SP500TR Baseline,value,22.49,1.26,40.74,58.00,0.52,9.98,25.25,28.04,38.60,32.14,1.37
SP500TR Baseline,std,(0.56),(0.13),(1.63),(0.54),(0.00),(0.00),(0.75),(41.96),(46.52),(nan),(nan)
SP500TR Tech,value,23.35,1.65,46.47,52.76,0.54,9.99,22.43,30.45,44.40,36.03,1.81
SP500TR Tech,std,(0.57),(0.10),(2.41),(1.12),(0.00),(0.00),(1.12),(48.28),(54.43),(nan),(nan)
SP500TR Retail,value,22.08,1.72,36.07,63.14,0.53,10.00,28.52,29.46,38.65,30.05,1.86
SP500TR Retail,std,(0.99),(0.08),(6.43),(1.99),(0.00),(0.00),(3.20),(38.56),(42.68),(nan),(nan)
SP500TR Health,value,20.53,0.93,23.82,85.99,0.55,10.00,54.83,24.74,28.84,24.07,0.98
SP500TR Health,std,(1.59),(0.21),(17.89),(4.10),(0.01),(0.00),(5.78),(24.93),(26.83),(nan),(nan)
SP500TR Other,value,20.17,0.60,48.34,39.85,0.49,10.00,14.34,23.05,36.41,33.13,0.64
SP500TR Other,std,(0.41),(0.01),(2.30),(0.80),(0.00),(0.00),(1.01),(48.58),(53.79),(nan),(nan)
NASDAQ Baseline,value,23.00,1.17,40.70,58.11,0.52,9.99,25.24,28.20,38.68,32.65,1.27
NASDAQ Baseline,std,(0.86),(0.01),(0.79),(0.57),(0.00),(0.00),(0.79),(41.76),(46.30),(nan),(nan)
NASDAQ Tech,value,24.92,1.27,39.18,63.76,0.53,10.00,28.73,30.52,40.64,34.11,1.39
NASDAQ Tech,std,(0.36),(0.06),(1.81),(0.57),(0.00),(0.00),(1.20),(40.46),(45.03),(nan),(nan)
NASDAQ Retail,value,23.69,1.41,35.85,64.15,0.53,9.98,28.56,29.85,38.66,31.50,1.53
NASDAQ Retail,std,(1.41),(0.23),(8.41),(3.33),(0.00),(0.00),(4.08),(37.56),(41.55),(nan),(nan)
NASDAQ Health,value,21.23,0.77,23.63,86.44,0.54,10.00,55.00,24.80,28.77,24.73,0.81
NASDAQ Health,std,(1.44),(0.20),(15.58),(3.50),(0.01),(0.00),(5.44),(24.41),(26.26),(nan),(nan)
NASDAQ Other,value,19.65,0.73,48.36,39.89,0.49,10.00,14.37,23.06,36.49,32.58,0.78
NASDAQ Other,std,(0.75),(0.15),(2.59),(1.09),(0.00),(0.00),(1.41),(48.71),(53.95),(nan),(nan)
Russel Baseline,value,23.48,1.03,40.95,56.87,0.52,10.00,24.61,28.09,38.56,33.21,1.11
Russel Baseline,std,(0.23),(0.04),(1.21),(0.29),(0.00),(0.00),(0.81),(41.76),(46.28),(nan),(nan)
Russel Tech,value,26.03,1.10,38.78,64.72,0.54,9.97,28.96,30.92,40.77,35.08,1.19
Russel Tech,std,(0.38),(0.06),(2.00),(0.72),(0.00),(0.00),(1.18),(39.75),(44.24),(nan),(nan)
Russel Retail,value,24.32,1.27,37.98,59.76,0.53,10.00,27.45,29.88,39.42,32.95,1.37
Russel Retail,std,(1.17),(0.16),(6.88),(2.72),(0.00),(0.00),(3.60),(39.29),(43.58),(nan),(nan)
Russel Health,value,21.96,0.70,26.24,82.62,0.55,10.00,52.41,25.24,29.90,26.20,0.74
Russel Health,std,(1.26),(0.16),(7.13),(0.92),(0.01),(0.00),(6.03),(26.82),(28.95),(nan),(nan)
Russel Other,value,20.28,0.59,48.35,39.88,0.49,10.00,14.40,23.14,36.51,33.25,0.64
Russel Other,std,(0.49),(0.08),(1.92),(0.49),(0.00),(0.00),(1.05),(48.58),(53.80),(nan),(nan)
