,,gamma (%),delta,sigma (%),k (%),a,b,pi (%),E[ln R] (%),E[R] (%),alpha (%),beta
NASDAQ Baseline,value,23.00,1.17,40.70,58.11,0.52,9.99,25.24,28.20,38.68,32.65,1.27
NASDAQ Baseline,std,(0.86),(0.01),(0.79),(0.57),(0.00),(0.00),(0.79),(41.76),(44.21),(nan),(nan)
NASDAQ Tech,value,24.92,1.27,39.18,63.76,0.53,10.00,28.73,30.52,40.64,34.11,1.39
NASDAQ Tech,std,(0.36),(0.06),(1.81),(0.57),(0.00),(0.00),(1.20),(40.46),(42.91),(nan),(nan)
NASDAQ Retail,value,23.69,1.41,35.85,64.15,0.53,9.98,28.56,29.85,38.66,31.50,1.53
NASDAQ Retail,std,(1.41),(0.23),(8.41),(3.33),(0.00),(0.00),(4.08),(37.56),(39.68),(nan),(nan)
NASDAQ Health,value,21.23,0.77,23.63,86.44,0.54,10.00,55.00,24.80,28.77,24.73,0.81
NASDAQ Health,std,(1.44),(0.20),(15.58),(3.50),(0.01),(0.00),(5.44),(24.41),(25.36),(nan),(nan)
NASDAQ Other,value,19.65,0.73,48.36,39.89,0.49,10.00,14.37,23.06,36.49,32.58,0.78
NASDAQ Other,std,(0.75),(0.15),(2.59),(1.09),(0.00),(0.00),(1.41),(48.71),(51.65),(nan),(nan)
