,,gamma (%),delta,sigma (%),k (%),a,b,pi (%),E[ln R] (%),E[R] (%),alpha (%),beta
Russel Baseline,value,23.48,1.03,40.95,56.87,0.52,10.00,24.61,28.09,38.56,33.21,1.11
Russel Baseline,std,(0.23),(0.04),(1.21),(0.29),(0.00),(0.00),(0.81),(41.76),(44.20),(nan),(nan)
Russel Tech,value,26.03,1.10,38.78,64.72,0.54,9.97,28.96,30.92,40.77,35.08,1.19
Russel Tech,std,(0.38),(0.06),(2.00),(0.72),(0.00),(0.00),(1.18),(39.75),(42.14),(nan),(nan)
Russel Retail,value,24.32,1.27,37.98,59.76,0.53,10.00,27.45,29.88,39.42,32.95,1.37
Russel Retail,std,(1.17),(0.16),(6.88),(2.72),(0.00),(0.00),(3.60),(39.29),(41.58),(nan),(nan)
Russel Health,value,21.96,0.70,26.24,82.62,0.55,10.00,52.41,25.24,29.90,26.20,0.74
Russel Health,std,(1.26),(0.16),(7.13),(0.92),(0.01),(0.00),(6.03),(26.82),(27.93),(nan),(nan)
Russel Other,value,20.28,0.59,48.35,39.88,0.49,10.00,14.40,23.14,36.51,33.25,0.64
Russel Other,std,(0.49),(0.08),(1.92),(0.49),(0.00),(0.00),(1.05),(48.58),(51.51),(nan),(nan)
