,,gamma (%),delta,sigma (%),k (%),a,b,pi (%),E[ln R] (%),E[R] (%),alpha (%),beta
SP500TR Baseline,value,22.49,1.26,40.74,58.00,0.52,9.98,25.25,28.04,38.60,32.14,1.37
SP500TR Baseline,std,(0.56),(0.13),(1.63),(0.54),(0.00),(0.00),(0.75),(41.96),(44.43),(nan),(nan)
SP500TR Tech,value,23.35,1.65,46.47,52.76,0.54,9.99,22.43,30.45,44.40,36.03,1.81
SP500TR Tech,std,(0.57),(0.10),(2.41),(1.12),(0.00),(0.00),(1.12),(48.28),(51.64),(nan),(nan)
SP500TR Retail,value,22.08,1.72,36.07,63.14,0.53,10.00,28.52,29.46,38.65,30.05,1.86
SP500TR Retail,std,(0.99),(0.08),(6.43),(1.99),(0.00),(0.00),(3.20),(38.56),(40.76),(nan),(nan)
SP500TR Health,value,20.53,0.93,23.82,85.99,0.55,10.00,54.83,24.74,28.84,24.07,0.98
SP500TR Health,std,(1.59),(0.21),(17.89),(4.10),(0.01),(0.00),(5.78),(24.93),(25.91),(nan),(nan)
SP500TR Other,value,20.17,0.60,48.34,39.85,0.49,10.00,14.34,23.05,36.41,33.13,0.64
SP500TR Other,std,(0.41),(0.01),(2.30),(0.80),(0.00),(0.00),(1.01),(48.58),(51.50),(nan),(nan)
